State,Mean Value
NY,455069.0197866382
CA,695051.9559472798
TX,294704.7480798771
FL,322751.4460020088
GA,192641.70540796965
WA,473890.1511867904
MI,198722.93002368737
IL,249936.36452090277
AZ,263493.09383753495
CO,417914.05599128536
